City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,bubaque,11.2833,-15.8333,300.62,82,99,4.73,GW,1719792116
337,los angeles,34.0522,-118.2437,309.08,45,0,1.79,US,1719791934
338,labuan bajo,-8.4964,119.8877,299.26,77,92,2.51,ID,1719792120
339,penzance,50.1186,-5.5371,287.53,80,99,5.13,GB,1719792122
340,nouadhibou,20.931,-17.0347,295.14,73,52,8.23,MR,1719792123
341,sovetskiy,61.3614,63.5842,289.1,81,54,1.84,RU,1719792125
342,arkhangel'sk,64.5401,40.5433,286.21,100,0,2.0,RU,1719792027
343,san jeronimo de juarez,17.1333,-100.4667,300.83,84,76,1.43,MX,1719792128
344,kikwit,-5.041,18.8162,295.88,39,3,0.77,CD,1719792130
345,guerrero negro,27.9769,-114.0611,295.89,68,61,7.12,MX,1719792132
346,tura,25.5198,90.2201,297.1,99,100,1.64,IN,1719791877
347,talara,-4.5772,-81.2719,291.9,85,6,4.72,PE,1719792135
348,lerwick,60.1545,-1.1494,284.15,85,100,6.07,GB,1719792136
349,suntar,62.1444,117.6319,298.39,56,4,3.96,RU,1719792138
350,nar'yan-mar,67.6713,53.087,276.58,88,91,3.86,RU,1719792140
351,uvinza,-5.1036,30.3911,290.65,54,3,0.95,TZ,1719792141
352,aasiaat,68.7098,-52.8699,274.01,95,94,1.6,GL,1719792143
353,thunder bay,48.4001,-89.3168,291.46,60,6,2.54,CA,1719792147
354,uturoa,-16.7333,-151.4333,299.61,78,4,9.76,PF,1719792148
355,villa emilio carranza,19.9667,-96.6,297.78,96,100,6.85,MX,1719792150
356,vila velha,-20.3297,-40.2925,294.61,89,86,5.38,BR,1719792151
357,safotu,-13.4513,-172.4018,300.72,78,69,9.0,WS,1719792153
358,san luis de la loma,17.2706,-100.8939,300.69,82,91,1.6,MX,1719792154
359,new norfolk,-42.7826,147.0587,280.88,81,49,0.94,AU,1719792156
360,sorong,-0.8833,131.25,299.78,86,100,5.28,ID,1719792114
